2018-08-17T09:27:02Z,v5.1.0.RC2
2018-09-07T12:15:56Z,v5.0.9.RELEASE
2018-09-07T13:28:58Z,v5.1.0.RC3
2018-09-07T14:09:54Z,v4.3.19.RELEASE
2018-09-21T07:26:25Z,v5.1.0.RELEASE
2018-10-15T07:20:29Z,v5.1.1.RELEASE
2018-10-15T08:01:50Z,v5.0.10.RELEASE
2018-10-15T08:48:13Z,v4.3.20.RELEASE
2018-10-29T10:33:14Z,v5.1.2.RELEASE
2018-11-27T07:39:58Z,v4.3.21.RELEASE
2018-11-27T08:54:00Z,v5.0.11.RELEASE
2018-11-27T09:28:52Z,v5.1.3.RELEASE
2019-01-09T09:00:43Z,v4.3.22.RELEASE
2019-01-09T09:51:46Z,v5.0.12.RELEASE
2019-01-09T12:43:19Z,v5.1.4.RELEASE
2019-02-13T05:51:18Z,v5.1.5.RELEASE
2019-03-31T07:23:18Z,v4.3.23.RELEASE
2019-03-31T08:03:27Z,v5.0.13.RELEASE
2019-03-31T08:42:37Z,v5.1.6.RELEASE
2019-04-10T08:41:41Z,v5.2.0.M1
2019-05-09T08:59:31Z,v4.3.24.RELEASE
2019-05-09T09:34:24Z,v5.0.14.RELEASE
2019-05-09T14:55:50Z,v5.1.7.RELEASE
2019-05-09T16:36:50Z,v5.2.0.M2
2019-06-13T13:17:42Z,v5.2.0.M3
2019-06-13T14:04:48Z,v5.1.8.RELEASE
2019-08-02T08:07:38Z,v4.3.25.RELEASE
2019-08-02T08:33:02Z,v5.0.15.RELEASE
2019-08-02T09:02:04Z,v5.1.9.RELEASE
2019-08-05T08:30:44Z,v5.2.0.RC1
2019-09-05T09:06:49Z,v5.2.0.RC2
2019-09-28T11:27:26Z,v5.1.10.RELEASE
2019-09-30T08:57:40Z,v5.2.0.RELEASE
2019-11-02T07:17:07Z,v5.1.11.RELEASE
2019-11-02T08:19:28Z,v5.2.1.RELEASE
2019-12-03T08:05:55Z,v5.1.12.RELEASE
2019-12-03T08:59:16Z,v5.2.2.RELEASE
2020-01-14T07:37:50Z,v5.1.13.RELEASE
2020-01-14T08:00:38Z,v5.2.3.RELEASE
2020-01-14T10:37:36Z,v5.0.16.RELEASE
2020-01-14T11:06:57Z,v4.3.26.RELEASE
2020-02-25T16:23:10Z,v5.1.14.RELEASE
2020-02-25T16:42:46Z,v5.2.4.RELEASE
2020-03-24T11:33:10Z,v5.2.5.RELEASE
